variable_name,standardized_title,standardized_label,wave,file,codebook_file,block,question_label,question_text,item_text,question_type,dtype_observed,rows,nonempty_n,valid_n,missing_pct,unique_valid_values,example_values_raw,example_values_decoded,top_value_counts,value_labels,codebook_comment,display_skip_logic,migration_family
w1_q39,Household Migration Frequency,hh_migr_freq,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Frequency,How many times has your household moved already as a whole before you came to this village? This does not include shifting your house within this village.,,Single Choice,integer-coded,2170,2170,588,72.9,4,"[""4"", ""1"", ""3"", ""2""]","[""More than 3 times [enter number]"", ""1 time"", ""3 times"", ""2 times""]","{""4"": 224, ""1"": 174, ""3"": 100, ""2"": 90}","{""1"": ""1 time"", ""2"": ""2 times"", ""3"": ""3 times"", ""4"": ""More than 3 times [enter number]"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",migration history/outcome
w1_q39_txt,Household Migration Frequency,hh_migr_freq_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Frequency,How many times has your household moved already as a whole before you came to this village? This does not include shifting your house within this village.,,Open Text Box,integer-coded,2170,2170,223,89.72,20,"[""4"", ""5"", ""7"", ""6"", ""8"", ""10"", ""11"", ""9""]","[""4"", ""5"", ""7"", ""6"", ""8"", ""10"", ""11"", ""9""]","{""4"": 60, ""5"": 32, ""7"": 30, ""6"": 24, ""8"": 18, ""10"": 15, ""11"": 9, ""9"": 7, ""12"": 5, ""3"": 4}",{},,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",migration history/outcome
w1_q28x1,Household Migration Reasons,hh_migr_reasn1,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Riverbank erosion (1 experience),Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 510, ""1"": 43}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x10,Household Migration Reasons,hh_migr_reasn10,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Unreliable harvest,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 550, ""1"": 3}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x11,Household Migration Reasons,hh_migr_reasn11,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Crop failure,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 547, ""1"": 6}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x12,Household Migration Reasons,hh_migr_reasn12,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Loss of animals,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 551, ""1"": 2}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x13,Household Migration Reasons,hh_migr_reasn13,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Lack of own property (land or house),Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 520, ""1"": 33}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x14,Household Migration Reasons,hh_migr_reasn14,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Better living standard,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 546, ""1"": 7}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x15,Household Migration Reasons,hh_migr_reasn15,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Other economic push factor:,Multiple Choice,integer-coded,2170,2170,553,74.52,1,"[""0""]","[""Not Selected""]","{""0"": 553}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x15_txt,Household Migration Reasons,hh_migr_reasn15_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Other economic push factor:,Open Text Box,undetermined (no valid values),2170,2170,0,100.0,0,[],[],{},{},,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x16,Household Migration Reasons,hh_migr_reasn16,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],No family or relatives in present location,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 546, ""1"": 7}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x17,Household Migration Reasons,hh_migr_reasn17,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],(Past/current) discrimination in present location,Multiple Choice,integer-coded,2170,2170,553,74.52,1,"[""0""]","[""Not Selected""]","{""0"": 553}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x18,Household Migration Reasons,hh_migr_reasn18,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Insecurity in present location (physical &/or sexual danger),Multiple Choice,integer-coded,2170,2170,553,74.52,1,"[""0""]","[""Not Selected""]","{""0"": 553}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x19,Household Migration Reasons,hh_migr_reasn19,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Inadequate health care in present location,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 546, ""1"": 7}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x2,Household Migration Reasons,hh_migr_reasn2,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Riverbank erosion (Repeated),Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""1"", ""0""]","[""Selected"", ""Not Selected""]","{""1"": 464, ""0"": 89}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x20,Household Migration Reasons,hh_migr_reasn20,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],No school in present location,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 551, ""1"": 2}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x21,Household Migration Reasons,hh_migr_reasn21,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Inadequate infrastructure (e.g. roads),Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 532, ""1"": 21}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x22,Household Migration Reasons,hh_migr_reasn22,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],For marriage,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 541, ""1"": 12}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x23,Household Migration Reasons,hh_migr_reasn23,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Growth of family (e.g. more children),Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 547, ""1"": 6}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x24,Household Migration Reasons,hh_migr_reasn24,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Other social push factor:,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 552, ""1"": 1}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x24_txt,Household Migration Reasons,hh_migr_reasn24_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Other social push factor:,Open Text Box,string,2170,2170,2,99.91,2,"[""Conflicting between two brother"", ""Family matter""]","[""Conflicting between two brother"", ""Family matter""]","{""Conflicting between two brother"": 1, ""Family matter"": 1}",{},,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x25,Household Migration Reasons,hh_migr_reasn25,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Too many people in the village,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 543, ""1"": 10}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x26,Household Migration Reasons,hh_migr_reasn26,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],(Past/current) conflict in present location,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 551, ""1"": 2}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x27,Household Migration Reasons,hh_migr_reasn27,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Government provided incentives to go,Multiple Choice,integer-coded,2170,2170,553,74.52,1,"[""0""]","[""Not Selected""]","{""0"": 553}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x28,Household Migration Reasons,hh_migr_reasn28,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Government forced to move,Multiple Choice,integer-coded,2170,2170,553,74.52,1,"[""0""]","[""Not Selected""]","{""0"": 553}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x29,Household Migration Reasons,hh_migr_reasn29,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Other political/conflict push factor:,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 552, ""1"": 1}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x29_txt,Household Migration Reasons,hh_migr_reasn29_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Other political/conflict push factor:,Open Text Box,undetermined (no valid values),2170,2170,0,100.0,0,[],[],{},{},,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x3,Household Migration Reasons,hh_migr_reasn3,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Monsoon floods,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 511, ""1"": 42}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
w1_q28x30,Household Migration Reasons,hh_migr_reasn30,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Migration Reasons,Why have you shifted the location of your household? [multiple choice],Other general:,Multiple Choice,integer-coded,2170,2170,553,74.52,2,"[""0"", ""1""]","[""Not Selected"", ""Selected""]","{""0"": 545, ""1"": 8}","{""0"": ""Not Selected"", ""1"": ""Selected""}",,"If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" |",reason for moving/return
